课程代码,课程名称,课程英文名称,课程性质,开课学院,任课老师,学分,起止周,上课地点,上课时间,班级
ECO102,宏观经济学,Macroeconomics,学科基础课,经济学院,刘书祥,3.0,1-17,B104;B104,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2024级经济学（国家经济学基础人才培养基地班）
ECO102,宏观经济学,Macroeconomics,大类平台课,经济学院,王爱伦,3.0,1-17,B103;B103,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2024级数字经济（基础学科拔尖实验班）
ECO102,宏观经济学,Macroeconomics,大类平台课,经济学院,王爱伦,3.0,1-17,C404,"周四第10,11,12节{第1-17周}",2024级计算机科学与技术（基础学科拔尖实验班）
ECO102,宏观经济学,Macroeconomics,学科基础课,经济学院,王子奇,3.0,1-17,H103;H103,"周一第1,2节{第1-17周};周一第3节{第1-17周}",2024级金融学类
ECO102,宏观经济学,Macroeconomics,学科基础课,经济学院,王子奇,3.0,1-17,H103,"周一第10,11,12节{第1-17周}",2024级金融学类
ECO102,宏观经济学,Macroeconomics,学科基础课,经济学院,杨海涛,3.0,1-17,H102;H102,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2024级财政学类
ECO102,宏观经济学,Macroeconomics,学科基础课,经济学院,杨海涛/周葵,3.0,1-17,H102;H102,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2024级财政学类
ECO102,宏观经济学,Macroeconomics,学科基础课,经济学院,杨海洋,3.0,1-17,H103;H103,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2024级财政学类
ECO102,宏观经济学,Macroeconomics,学科基础课,经济学院,杨慧玲,3.0,1-17,H109,"周二第10,11,12节{第1-17周}",2024级金融工程
ECO102,宏观经济学,Macroeconomics,学科基础课,经济学院,张晓舸,3.0,1-17,H204,"周一第10,11,12节{第1-17周}",2024级金融学类（保险方向）
ECO102,宏观经济学,Macroeconomics,学科基础课,经济学院,张晓舸,3.0,1-17,H204;H204,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2024级金融学类（保险方向）
ECO102,宏观经济学,Macroeconomics,学科基础课,经济学院,邹红,3.0,3-17,H212;H212,"周三第5,6节{第3-17周};周三第7节{第3-17周}",2024级经济学（经济学拔尖学生培养基地班）
ECO102,宏观经济学,Macroeconomics,学科基础课,经济学院,栾炳江,3.0,1-17,E301;E301,"周一第1,2节{第1-17周};周一第3节{第1-17周}",2024级金融学类
ECO102,宏观经济学,Macroeconomics,学科基础课,经济学院,栾炳江,3.0,1-17,H312,"周一第10,11,12节{第1-17周}",2024级金融学类
ECO802,宏观经济学（双语）,Macroeconomics(Bilingual),学科基础课,国际商学院,李雨浓/姚星,3.0,1-17,H314,"周三第10,11,12节{第1-17周}",2024级经济与贸易类
ECO802,宏观经济学（双语）,Macroeconomics(Bilingual),学科基础课,国际商学院,李雨浓/姚星,3.0,1-17,B408;B408,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2024级经济与贸易类
ECO802,宏观经济学（双语）,Macroeconomics(Bilingual),学科基础课,国际商学院,吴钢,3.0,1-17,B302,"周二第10,11,12节{第1-17周}",2024级经济与贸易类
ECO802,宏观经济学（双语）,Macroeconomics(Bilingual),学科基础课,国际商学院,姚星/王博,3.0,1-17,B205,"周二第10,11,12节{第1-17周}",2024级经济与贸易类
ECO904,宏观经济学（英）,Macroeconomics(English),大学科基础课,国际商学院,Andriani Luca,3.0,6-7,C101;C101;C101;C101;C101;C101;C101,"周一第1,2节{第6-7周};周一第3,4节{第6-7周};周二第1,2节{第6-7周};周二第3,4节{第6-7周};周三第1,2节{第6-7周};周三第3节{第6-7周};周五第10,11节{第6-7周}",2023级国际商务
ECO904,宏观经济学（英）,Macroeconomics(English),大学科基础课,国际商学院,Andriani Luca,3.0,6-7,C103;C103;C103;C103;C103,"周一第10,11,12节{第6-7周};周二第10,11,12节{第6-7周};周三第10,11,12节{第6-7周};周四第1,2节{第6-7周};周五第8,9节{第6-7周}",2023级国际商务
ECO904,宏观经济学（英）,Macroeconomics(English),学科基础课,经济与管理研究院,楚天舒,3.0,1-17,F101;F101,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2024级金融学（经管国际化创新实验班）
ECO904,宏观经济学（英）,Macroeconomics(English),学科基础课,经济与管理研究院,金一,3.0,1-17,B402;B402,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2024级金融学（经管国际化创新实验班）
ECO904,宏观经济学（英）,Macroeconomics(English),学科基础课,经济与管理研究院,金一,3.0,1-17,H314;H314,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2024级金融学（经管国际化创新实验班）
ECO904,宏观经济学（英）,Macroeconomics(English),学科基础课,经济与管理研究院,栾梦娜,3.0,1-17,B501;B501,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2024级金融学（经管国际化创新实验班）
ECO904,宏观经济学（英）,Macroeconomics(English),学科基础课,经济与管理研究院,栾梦娜,3.0,1-17,J203;J203,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2024级金融学（经管国际化创新实验班）
ART029,互联网产品设计基础,Fundamentals of Internet Product Design,专业方向课,人文与艺术学院,陆瀚,3.0,1-9,H207;H207;H207;H207;H207,"周一第1,2节{第1-4周};周一第3,4节{第1-4周};周三第1,2节{第1-9周};周三第3,4节{第1-8周};周三第3节{第9-9周|单周}",2023级数字媒体艺术
ECC302,互联网金融,Internet Finance,专业方向课,管理科学与工程学院,李忠俊/帅青红,3.0,1-17,B407;B407,"周四第1,2节{第1-17周};周四第3节{第1-17周}",2022级电子商务
ECO933,环境经济学（英）,Environment Economics (English),专业方向课,经济与管理研究院,陈晓光,3.0,1-17,B401;B401,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2022级会计学（经管国际化创新实验班）
ACC408,会计理论,Accounting Theory,专业方向课,会计学院,李少鹏,3.0,1-17,H101;H101,"周三第1,2节{第1-17周};周三第3节{第1-17周}",2022级会计学（大数据会计）
ACC408,会计理论,Accounting Theory,专业方向课,会计学院,李少鹏,3.0,1-17,H201,"周三第10,11,12节{第1-17周}",2022级会计学（注册会计师专门化方向）
ACC408,会计理论,Accounting Theory,专业方向课,会计学院,李少鹏,3.0,1-17,H402;H402,"周四第1,2节{第1-17周};周四第3节{第1-17周}",2022级会计学（大数据会计）
ACC408,会计理论,Accounting Theory,专业方向课,会计学院,童璐,3.0,1-17,H308,"周三第10,11,12节{第1-17周}",2022级审计学（大数据审计）
ACC408,会计理论,Accounting Theory,专业方向课,会计学院,童璐,3.0,1-17,H201;H201,"周四第1,2节{第1-17周};周四第3节{第1-17周}",2022级财务管理（智能财务）
ACC908,会计理论（AT，英语）,"Accounting Theory(AT,English)",专业方向课,会计学院,童璐,3.0,1-17,B501;B501,"周二第1,2节{第1-17周};周二第3节{第1-17周}",2022级会计学（双语实验班）
ACC908,会计理论（AT，英语）,"Accounting Theory(AT,English)",专业方向课,会计学院,童璐,3.0,1-17,J103;J103,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2022级会计学（双语实验班）
ADT201,会计信息系统,Accounting Information System,专业方向课,会计学院,孙静华,3.0,1-17,I101,"周四第10,11,12节{第1-17周}",2022级财务管理（智能财务）
ADT201,会计信息系统,Accounting Information System,专业方向课,会计学院,孙静华,3.0,1-17,I101;I101,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2022级财务管理（智能财务）
ADT201,会计信息系统,Accounting Information System,专业必修课,会计学院,孙静华,3.0,1-17,I101;I101,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2022级审计学（大数据审计）
ADT201,会计信息系统,Accounting Information System,专业必修课,会计学院,张冬/唐雪松,3.0,1-17,H308;H308,"周一第1,2节{第1-17周};周一第3节{第1-17周}",2022级会计学（大数据会计）
ADT201,会计信息系统,Accounting Information System,专业必修课,会计学院,张冬/唐雪松,3.0,1-17,H308;H308,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2022级会计学（大数据会计）
ADT901,"会计信息系统（AIS, 英语）","Accounting Information System(AIS,English)",专业方向课,会计学院,朱爱勇,4.0,1-17,I101;I101,"周四第8,9节{第1-17周};周五第3,4节{第1-17周}",2022级会计学（双语实验班）
ADT901,"会计信息系统（AIS, 英语）","Accounting Information System(AIS,English)",专业方向课,经济与管理研究院,尚华,3.0,1-17,H206;H206,"周三第1,2节{第1-17周};周三第3节{第1-17周}",2022级会计学（经管国际化创新实验班）
ADT901,"会计信息系统（AIS, 英语）","Accounting Information System(AIS,English)",专业方向课,经济与管理研究院,尚华,3.0,1-17,H109;H109,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2022级会计学（经管国际化创新实验班）
ACC200,会计学,Accounting,大类平台课,会计学院,曹昱,3.0,1-17,C304,"周四第10,11,12节{第1-17周}",2024级金融科技
ACC200,会计学,Accounting,专业选修课,会计学院,邓博夫,3.0,1-17,B403;B403,"周四第1,2节{第1-17周};周四第3节{第1-17周}",2024级金融学（智能金融与区块链金融）
ACC200,会计学,Accounting,学科基础课,会计学院,邓博夫,3.0,1-17,H104;H104,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2024级金融学类
ACC200,会计学,Accounting,专业选修课,会计学院,胡宁,3.0,1-17,H208;H208,"周四第1,2节{第1-17周};周四第3节{第1-17周}",2024级金融数学
ACC200,会计学,Accounting,专业核心课,会计学院,胡宁,3.0,1-17,H210;H210,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2024级数学与应用数学（数学与经济学双学位）
ACC200,会计学,Accounting,学科基础课,会计学院,华晨,3.0,1-17,H315;H315,"周四第7节{第1-17周};周四第8,9节{第1-17周}",2024级法学（法学与金融学双学位）
ACC200,会计学,Accounting,学科基础课,会计学院,金雅玲,3.0,1-17,B206;B206,"周四第1,2节{第1-17周};周四第3节{第1-17周}",2024级财政学类
ACC200,会计学,Accounting,学科基础课,会计学院,金智,3.0,1-17,H202;H202,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2024级精算学
ACC200,会计学,Accounting,学科基础课,会计学院,李朝霞,3.0,1-17,H404,"周四第10,11,12节{第1-17周}",2024级金融学类
ACC200,会计学,Accounting,学科基础课,会计学院,李朝霞,3.0,1-17,F101;F101,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2024级金融学类
ACC200,会计学,Accounting,学科基础课,会计学院,李海燕,3.0,1-17,H308;H308,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2024级财政学类
ACC200,会计学,Accounting,学科基础课,会计学院,李海燕,3.0,1-17,B107;B107,"周一第1,2节{第1-17周};周一第3节{第1-17周}",2024级金融工程
ACC200,会计学,Accounting,学科基础课,会计学院,李海燕,3.0,1-17,H403,"周一第10,11,12节{第1-17周}",2024级金融工程
ACC200,会计学,Accounting,学科基础课,会计学院,许楠,3.0,1-17,H402,"周四第10,11,12节{第1-17周}",2024级金融学类
ACC200,会计学,Accounting,学科基础课,会计学院,许楠,3.0,1-17,E301;E301,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2024级金融学类
ACC200,会计学,Accounting,学科基础课,会计学院,杨奕楠,3.0,1-17,B204;B204,"周四第1,2节{第1-17周};周四第3节{第1-17周}",2024级财政学类
ACC200,会计学,Accounting,学科基础课,会计学院,杨奕楠,3.0,1-17,H307;H307,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2024级财政学类
ACC200,会计学,Accounting,学科基础课,会计学院,张怡,3.0,1-17,H401,"周四第10,11,12节{第1-17周}",2024级金融学类
ACC200,会计学,Accounting,学科基础课,会计学院,张怡,3.0,1-17,H208;H208,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2024级金融学类
ACC200,会计学,Accounting,学科基础课,会计学院,张怡,3.0,1-17,C208;C208,"周五第7节{第1-17周};周五第8,9节{第1-17周}",2024级金融学类
ACC200,会计学,Accounting,学科基础课,金融学院,杨奕楠,3.0,1-17,B305,"周三第10,11,12节{第1-17周}",2024级金融学类（保险方向）
ACC200,会计学,Accounting,学科基础课,金融学院,杨奕楠,3.0,1-17,B105;B105,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2024级金融学类（保险方向）
ACC200,会计学,Accounting,学科基础课,金融学院,张婷婷,3.0,1-17,H310;H310,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2024级金融学类（保险方向）
IDS208,会计学II（英）,Accounting II (English),专业方向课,特拉华数据科学学院,Greenstein Brian,3.0,1-8,F102;F102;H110;H110,"周二第1,2节{第1-8周};周二第3,4节{第1-8周};周五第5,6节{第1-8周};周五第7节{第1-8周}",2023级物流管理（运营管理与商务分析）
IDS208,会计学II（英）,Accounting II (English),专业方向课,特拉华数据科学学院,Greenstein Brian,3.0,1-8,H109;H109;C304;C304,"周三第1,2节{第1-8周};周三第3,4节{第1-8周};周四第5,6节{第1-8周};周四第7节{第1-8周}",2023级信息管理与信息系统（信息系统与数据管理）
IDS208,会计学II（英）,Accounting II (English),专业方向课,特拉华数据科学学院,Greenstein Brian,3.0,1-8,H106;H106;H204;H204,"周一第1,2节{第1-8周};周一第3,4节{第1-8周};周五第1,2节{第1-8周};周五第3节{第1-8周}",2023级金融数学（金融服务与量化分析）
ACC109,会计学毕业论文,Graduation Thesis in Accounting,实践环节课,会计学院,缪梦茹,8.0,1-17,,,2021级会计学
ACC101,会计学毕业实习,Graduation Internship in Accounting,实践环节课,会计学院,缪梦茹,6.0,1-17,,,2021级会计学
ACC204,会计学原理,Principle of Accounting,学科基础课,会计学院,曹昱,3.0,1-17,H404;H404,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2024级工商管理类（会计学院）
ACC204,会计学原理,Principle of Accounting,学科基础课,会计学院,冯建,3.0,1-17,C501;C501,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2024级工商管理类（会计学院）
ACC204,会计学原理,Principle of Accounting,学科基础课,会计学院,黄健,3.0,1-17,C404,"周三第10,11,12节{第1-17周}",2024级会计学（注册会计师专门化方向）
ACC204,会计学原理,Principle of Accounting,学科基础课,会计学院,黄健,3.0,1-17,C404;C404,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2024级会计学（注册会计师专门化方向）
ACC204,会计学原理,Principle of Accounting,大类平台课,会计学院,黄健,3.0,1-17,H315;H315,"周一第1,2节{第1-17周};周一第3节{第1-17周}",2024级法学（法学与会计学双学位）
ACC204,会计学原理,Principle of Accounting,学科基础课,会计学院,李海燕,3.0,1-17,C206,"周三第10,11,12节{第1-17周}",2024级会计学（注册会计师专门化方向）
ACC204,会计学原理,Principle of Accounting,学科基础课,会计学院,曾昌礼,3.0,1-17,H401;H401,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2024级工商管理类（会计学院）
ACC204,会计学原理,Principle of Accounting,学科基础课,会计学院,曾昌礼,3.0,1-17,H307;H307,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2024级工商管理类（会计学院）
ACC114,会计中外毕业论文,Graduationn Thesis in Chinese-Foreign Program,实践环节课,会计学院,郝若欣,8.0,1-17,,,2021级会计学（中外合作办学）
ACC114,会计中外毕业论文,Graduationn Thesis in Chinese-Foreign Program,实践环节课,会计学院,郝若欣,8.0,1-17,,,2021级会计学（中外合作办学）
ACC106,会计中外毕业实习,Graduationn Internship in Chinese-Foreign Program,实践环节课,会计学院,郝若欣,6.0,1-17,,,2021级会计学（中外合作办学）
ACC106,会计中外毕业实习,Graduationn Internship in Chinese-Foreign Program,实践环节课,会计学院,郝若欣,6.0,1-17,,,2021级会计学（中外合作办学）
ACC112,会双毕业论文,Graduation Thesis in Bilingual Accounting,实践环节课,会计学院,缪梦茹,8.0,1-17,,,2021级会计学（双语实验班）
ACC104,会双毕业实习,Graduation Internship in Bilingual Accounting,实践环节课,会计学院,缪梦茹,6.0,1-17,,,2021级会计学（双语实验班）
CST402,汇编语言,Assembly Language,专业必修课,计算机与人工智能学院,范江波,2.0,1-17,H402,"周四第5,6节{第1-17周}",2023级计算机科学与技术
CST402,汇编语言,Assembly Language,专业必修课,计算机与人工智能学院,谢彪,2.0,1-17,I103,"周三第10,11节{第1-17周}",2023级计算机科学与技术
LAW303,婚姻法与继承法,Marriage Law & Inheritance Law,专业方向课,法学院,梁继红,3.0,1-17,E102,"周三第10,11,12节{第1-17周}",2023级法学（法学与会计学双学位）
LAW303,婚姻法与继承法,Marriage Law & Inheritance Law,专业方向课,法学院,梁继红,3.0,1-17,E102;E102,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2023级法学
LAW303,婚姻法与继承法,Marriage Law & Inheritance Law,专业方向课,法学院,梁继红,3.0,1-17,B402;B402,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2023级法学（法学与金融学双学位）
FIN200,货币金融学,Monetary Finance,专业必修课,会计学院,自动生成,3.0,2-17,,,辅修课
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,曹伟/董青马,3.0,1-17,H314,"周一第10,11,12节{第1-17周}",2023级财务管理
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,陈懋龙,3.0,1-17,J201;J201,"周一第1,2节{第1-17周};周一第3节{第1-17周}",2023级会计学（双语实验班）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,戴艳萍,3.0,1-17,B201;B201,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2023级会计学（注册会计师专门化方向）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,戴艳萍,3.0,1-17,C307,"周一第10,11,12节{第1-17周}",2023级会计学（注册会计师专门化方向）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,戴艳萍,3.0,1-17,C307;C307,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2023级会计学（注册会计师专门化方向）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,黄宇虹,3.0,1-17,B207;B207,"周一第1,2节{第1-17周};周一第3节{第1-17周}",2023级大数据管理与应用
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,况昕,3.0,1-17,B307;B307,"周四第1,2节{第1-17周};周四第3节{第1-17周}",2023级法学（法学与会计学双学位）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,李洁,3.0,1-17,B108,"周一第10,11,12节{第1-17周}",2023级供应链管理
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,李洁,3.0,1-17,B307;B307,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2023级供应链管理
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,马如静,3.0,1-17,C303;C303,"周三第7节{第1-17周};周三第8,9节{第1-17周}",2023级会计学（大数据会计光华实验班）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,马如静,3.0,1-17,J101;J101,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2023级审计学
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,莫建明,3.0,1-17,H401,"周一第10,11,12节{第1-17周}",2023级工商管理（双语实验班）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,莫建明,3.0,1-17,B304;B304,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2023级旅游管理
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,欧阳勇,3.0,1-17,C303;C303,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2023级工商管理
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,欧阳勇,3.0,1-17,C303;C303,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2023级工商管理
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,万晓莉,3.0,1-17,B104,"周三第10,11,12节{第1-17周}",2023级会计学（双语实验班）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,万晓莉,3.0,1-17,J203;J203,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2023级会计学（双语实验班）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,王鹏,3.0,1-17,B401;B401,"周一第1,2节{第1-17周};周一第3节{第1-17周}",2023级管理科学
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,翁舟杰/许坤,3.0,1-17,,,2023级财务管理
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,肖宇,3.0,1-17,H304,"周一第10,11,12节{第1-17周}",2023级人力资源管理
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,肖宇,3.0,1-17,B407;B407,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2023级国际商务（双语实验班）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,徐小淇,3.0,1-17,C401;C401,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2023级法学（法学与国际商务双学位）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,曾琪,3.0,1-17,B108;B108,"周一第1,2节{第1-17周};周一第3节{第1-17周}",2023级大数据管理与应用
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,周丽晖,3.0,1-17,B203,"周四第10,11,12节{第1-17周}",2023级会计学（大数据会计）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,周丽晖,3.0,1-17,B203;B203,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2023级会计学（大数据会计）
FIN200,货币金融学,Monetary Finance,大学科基础课,金融学院,周丽晖,3.0,1-17,C201;C201,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2023级会计学（大数据会计）
FIN900,货币金融学（英）,"The Economics of Money,Banking,and Financial Markets(English)",大学科基础课,工商管理学院,自动生成,3.0,2-9,C408;C408;C408;C408,"周三第1,2节{第2-9周};周三第3节{第2-9周};周五第5,6节{第2-9周};周五第7节{第2-9周}",2023级市场营销（金融服务与营销）
FIN900,货币金融学（英）,"The Economics of Money,Banking,and Financial Markets(English)",大学科基础课,工商管理学院,自动生成,3.0,2-9,C408;C408;C408;C408,"周三第5,6节{第2-9周};周三第7节{第2-9周};周五第1,2节{第2-9周};周五第3节{第2-9周}",2023级市场营销（金融服务与营销）
FIN900,货币金融学（英）,"The Economics of Money,Banking,and Financial Markets(English)",大学科基础课,金融学院,谢成博,3.0,1-17,J101;J101,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2023级国际商务
FIN900,货币金融学（英）,"The Economics of Money,Banking,and Financial Markets(English)",大学科基础课,金融学院,谢成博,3.0,1-17,J101;J101,"周五第5,6节{第1-17周};周五第7节{第1-17周}",2023级国际商务
BST301,货币与金融统计,Monetary & Financial Statistics,专业方向课,统计学院,彭刚,3.0,1-17,E302;E302,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2022级经济统计学
FRA105,基础法语 I,Basic French I,自由选修课,工商管理学院,许韵,2.0,1-17,B206,"周一第8,9节{第1-17周}",2023级市场营销（金融服务与营销）
FRA106,基础法语 II,Basic French II,通识基础课,外国语学院,段易,4.0,1-17,H111;H111;B503,"周三第6节{第1-17周};周三第7节{第1-17周};周四第3,4节{第1-17周}",2023级国际经济与贸易（国际组织人才光华实验班）
SPA110,基础西班牙语IV,Fundamental Spanish IV,专业必修课,外国语学院,李彼蔚,6.0,1-17,D309;D309;D309,"周二第3,4节{第1-17周};周四第3,4节{第1-17周};周五第3,4节{第1-17周}",2023级西班牙语
SPA103,基础西班牙语Ⅱ,Fundamental Spanish II,学科基础课,外国语学院,郭轩,6.0,1-17,C102;C102;C104;D303,"周一第6节{第1-17周};周一第7节{第1-17周};周三第3,4节{第1-17周};周五第1,2节{第1-17周}",2024级西班牙语
ENG106,基础英语Ⅱ,Essential English Ⅱ,学科基础课,外国语学院,李琳,4.0,1-17,B107;B107,"周三第1,2节{第1-17周};周五第1,2节{第1-17周}",2024级外国语言文学类
ENG106,基础英语Ⅱ,Essential English Ⅱ,学科基础课,外国语学院,李琳,4.0,1-17,B107;B107,"周三第3,4节{第1-17周};周五第3,4节{第1-17周}",2024级外国语言文学类
ENG106,基础英语Ⅱ,Essential English Ⅱ,学科基础课,外国语学院,李新涛,4.0,1-17,D310;D310,"周三第1,2节{第1-17周};周五第1,2节{第1-17周}",2024级外国语言文学类
ENG106,基础英语Ⅱ,Essential English Ⅱ,学科基础课,外国语学院,李新涛,4.0,1-17,D310;D310,"周三第3,4节{第1-17周};周五第3,4节{第1-17周}",2024级外国语言文学类
OPT898,机器学习,Machine Learning,专业必修课,计算机与人工智能学院,温良剑,3.0,1-17,H304,"周三第10,11,12节{第1-17周}",2023级人工智能
OPT898,机器学习,Machine Learning,专业必修课,计算机与人工智能学院,温良剑,3.0,1-17,H210,"周一第10,11,12节{第1-17周}",2023级计算机科学与技术
OPT898,机器学习,Machine Learning,专业必修课,计算机与人工智能学院,温良剑,3.0,1-17,H111;H111,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2023级计算机科学与技术
CST303,机器学习基础,Foundations of Machine Learning,专业方向课,计算机与人工智能学院,王武,3.0,1-17,C401;C401,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2023级数字经济
MAT451,机器学习数学基础,Fundamental Mathematics for Machine Learning,专业必修课,数学学院,王天明,3.0,1-17,H210;H210,"周四第1,2节{第1-17周};周四第3节{第1-17周}",2023级计算金融
MAT451,机器学习数学基础,Fundamental Mathematics for Machine Learning,专业必修课,数学学院,王天明/赵建容,3.0,1-17,H213;H213,"周四第5,6节{第1-17周};周四第7节{第1-17周}",2023级数学与应用数学
DMI200,机器学习与财税数据挖掘,Machine Learning and Data Mining,专业必修课,财政税务学院,刘元生,3.0,1-17,I203,"周二第10,11,12节{第1-17周}",2023级税收学（数字财税光华实验班）
DSC321,机器学习与数据挖掘,Machine Learning and Data Mining,专业必修课,金融学院,程睿,3.0,1-17,B203,"周一第10,11,12节{第1-17周}",2023级金融科技
DSC321,机器学习与数据挖掘,Machine Learning and Data Mining,专业必修课,金融学院,程睿,3.0,1-17,B208;B208,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2023级金融科技
DSC321,机器学习与数据挖掘,Machine Learning and Data Mining,专业必修课,统计学院,成青/梁巧,3.0,1-17,H211,"周三第10,11,12节{第1-17周}",2023级数据科学与大数据技术
DSC321,机器学习与数据挖掘,Machine Learning and Data Mining,专业方向课,统计学院,成青/梁巧,3.0,1-17,B503;B503,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2022级会计学（大数据会计）
DSC321,机器学习与数据挖掘,Machine Learning and Data Mining,专业方向课,统计学院,邓蔚,3.0,1-17,H301,"周四第10,11,12节{第1-17周}",2022级会计学（双语实验班）
DSC321,机器学习与数据挖掘,Machine Learning and Data Mining,专业必修课,统计学院,刘耀午,3.0,1-17,H110;H110,"周一第5,6节{第1-17周};周一第7节{第1-17周}",2023级统计学
DSC321,机器学习与数据挖掘,Machine Learning and Data Mining,专业方向课,统计学院,张佳/周玮,3.0,1-17,B403;B403,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2022级会计学（注册会计师专门化方向）
ECO307,机制与市场设计,Market and Mechanism Design,专业方向课,经济学院,盛大林/王湛,3.0,1-17,C203,"周四第10,11,12节{第1-17周}",2022级经济学（经济学拔尖学生培养基地班）
BST300,计量经济学,Econometrics,大学科基础课,统计学院,蒲丹/龚金国,3.0,1-17,H303,"周三第10,11,12节{第1-17周}",2022级精算学
BST300,计量经济学,Econometrics,专业方向课,统计学院,谢昕伶/郭建军,3.0,1-17,B404,"周二第10,11,12节{第1-17周}",2022级会计学（双语实验班）
BST300,计量经济学,Econometrics,专业方向课,统计学院,张尧钧,3.0,1-17,B405,"周三第10,11,12节{第1-17周}",2022级工商管理（大数据与管理光华实验班）
BST900,计量经济学（英）,Econometrics(English),专业必修课,经济与管理研究院,雷蕾,3.0,1-17,H404,"周三第10,11,12节{第1-17周}",2023级金融学（经管国际化创新实验班）
BST900,计量经济学（英）,Econometrics(English),专业必修课,经济与管理研究院,雷蕾,3.0,1-17,F103;F103,"周三第5,6节{第1-17周};周三第7节{第1-17周}",2023级金融学（经管国际化创新实验班）
